id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38603891,Furnished Room in Large Shaw Home with Amenities,294545484,June,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91607,-77.01775,Private room,51,30,0,,,89,153
38618740,Modern Logan Circle 2 Bedroom Apartment,48076140,David,,"Shaw, Logan Circle",38.91024,-77.02604,Entire home/apt,175,4,3,2021-06-17,1.00,1,293
38640257,Family friendly house in the heart of Petworth,5316966,Rodrigo,,"Brightwood Park, Crestwood, Petworth",38.94027,-77.02186,Entire home/apt,240,7,0,,,1,207
38646781,Upscale suite with jacuzzi- Not your average stay!,3367231,Kristen,,"Woodridge, Fort Lincoln, Gateway",38.93899,-76.97148,Entire home/apt,112,1,72,2021-07-09,10.05,1,210
38649445,Classic Georgetown Rowhouse Apt — Sleeps 2,295280058,Catherine,,"Georgetown, Burleith/Hillandale",38.9091,-77.05722,Entire home/apt,300,3,5,2019-11-12,0.23,1,52
38658067,"Rad Foggy Bottom Studio w/ Sundeck & Gym, near Georgetown,  by Blueground",107434423,Blueground,,"West End, Foggy Bottom, GWU",38.90184,-77.05363,Entire home/apt,99,30,0,,,131,329
38666039,"Mod Logan Circle 1BR by Metro, near Restaurants & Bars, by Blueground",107434423,Blueground,,"Shaw, Logan Circle",38.91018,-77.02729,Entire home/apt,178,30,2,2020-09-16,0.13,131,26
38671339,"Federalist Style Rowhouse ~ BRAND NEW ~  Rustic Design sleeps 4 in Bloomingdale, + Parking!",46630199,Home Sweet City,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91384,-77.0153,Entire home/apt,126,2,19,2020-03-18,0.88,59,152
38687842,Private Room in newly renovated home in DC,98438550,William,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9184,-76.99991,Private room,46,3,27,2021-06-24,1.30,1,0
38689819,Chef’s Kitchen- 3BR- Parking- WiFi-Entire Place,5685033,Jon,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91845,-77.00211,Entire home/apt,272,2,13,2021-06-13,0.60,2,361
